R90: 90 -- North: 0, East: 0, South: 0, West: 0
W3: 180 -- North: 0, East: 360, South: 85, West: 0
L90: 180 -- North: 0, East: 0, South: 85, West: 357
F55: 90 -- North: 0, East: 0, South: 85, West: 357
E2: 90 -- North: 0, East: 302, South: 85, West: 0
R90: 90 -- North: 0, East: 304, South: 85, West: 0
W5: 180 -- North: 0, East: 304, South: 85, West: 0
R90: 180 -- North: 0, East: 0, South: 85, West: 299
W1: 270 -- North: 0, East: 0, South: 85, West: 299
F4: 270 -- North: 0, East: 0, South: 85, West: 300
N4: 270 -- North: 0, East: 0, South: 85, West: 304
L180: 270 -- North: 81, East: 0, South: 0, West: 304
N1: 90 -- North: 81, East: 0, South: 0, West: 304
E1: 90 -- North: 82, East: 0, South: 0, West: 304
R180: 90 -- North: 82, East: 303, South: 0, West: 0
E4: 270 -- North: 82, East: 303, South: 0, West: 0
L270: 270 -- North: 82, East: 307, South: 0, West: 0
E5: 0 -- North: 82, East: 307, South: 0, West: 0
R90: 0 -- North: 82, East: 312, South: 0, West: 0
F60: 90 -- North: 82, East: 312, South: 0, West: 0
N1: 90 -- North: 82, East: 372, South: 0, West: 0
W5: 90 -- North: 83, East: 372, South: 0, West: 0
N3: 90 -- North: 83, East: 0, South: 0, West: 367
E5: 90 -- North: 86, East: 0, South: 0, West: 367
R90: 90 -- North: 86, East: 362, South: 0, West: 0
F73: 180 -- North: 86, East: 362, South: 0, West: 0
E3: 180 -- North: 0, East: 362, South: 13, West: 0
N4: 180 -- North: 0, East: 365, South: 13, West: 0
W1: 180 -- North: 9, East: 365, South: 0, West: 0
F32: 180 -- North: 9, East: 0, South: 0, West: 364
R90: 180 -- North: 0, East: 0, South: 23, West: 364
E3: 270 -- North: 0, East: 0, South: 23, West: 364
L90: 270 -- North: 0, East: 361, South: 23, West: 0
F91: 180 -- North: 0, East: 361, South: 23, West: 0
E3: 180 -- North: 0, East: 361, South: 114, West: 0
S3: 180 -- North: 0, East: 364, South: 114, West: 0
W2: 180 -- North: 0, East: 364, South: 117, West: 0
L90: 180 -- North: 0, East: 0, South: 117, West: 362
E1: 90 -- North: 0, East: 0, South: 117, West: 362
L90: 90 -- North: 0, East: 361, South: 117, West: 0
E1: 0 -- North: 0, East: 361, South: 117, West: 0
N5: 0 -- North: 0, East: 362, South: 117, West: 0
L180: 0 -- North: 112, East: 362, South: 0, West: 0
F87: 180 -- North: 112, East: 362, South: 0, West: 0
W3: 180 -- North: 0, East: 362, South: 25, West: 0
N4: 180 -- North: 0, East: 0, South: 25, West: 359
F78: 180 -- North: 21, East: 0, South: 0, West: 359
W5: 180 -- North: 0, East: 0, South: 57, West: 359
L90: 180 -- North: 0, East: 0, South: 57, West: 364
F34: 90 -- North: 0, East: 0, South: 57, West: 364
N4: 90 -- North: 0, East: 330, South: 57, West: 0
R90: 90 -- North: 53, East: 330, South: 0, West: 0
E5: 180 -- North: 53, East: 330, South: 0, West: 0
R180: 180 -- North: 53, East: 335, South: 0, West: 0
N2: 0 -- North: 53, East: 335, South: 0, West: 0
F52: 0 -- North: 55, East: 335, South: 0, West: 0
W4: 0 -- North: 107, East: 335, South: 0, West: 0
L90: 0 -- North: 107, East: 0, South: 0, West: 331
E1: 270 -- North: 107, East: 0, South: 0, West: 331
F17: 270 -- North: 107, East: 330, South: 0, West: 0
S2: 270 -- North: 107, East: 0, South: 0, West: 313
E3: 270 -- North: 0, East: 0, South: 105, West: 313
L180: 270 -- North: 0, East: 310, South: 105, West: 0
E3: 90 -- North: 0, East: 310, South: 105, West: 0
E2: 90 -- North: 0, East: 313, South: 105, West: 0
N5: 90 -- North: 0, East: 315, South: 105, West: 0
E5: 90 -- North: 100, East: 315, South: 0, West: 0
R90: 90 -- North: 100, East: 320, South: 0, West: 0
S1: 180 -- North: 100, East: 320, South: 0, West: 0
W3: 180 -- North: 0, East: 320, South: 99, West: 0
N5: 180 -- North: 0, East: 0, South: 99, West: 317
L90: 180 -- North: 94, East: 0, South: 0, West: 317
W1: 90 -- North: 94, East: 0, South: 0, West: 317
F13: 90 -- North: 94, East: 0, South: 0, West: 318
W4: 90 -- North: 94, East: 305, South: 0, West: 0
S4: 90 -- North: 94, East: 0, South: 0, West: 301
N5: 90 -- North: 0, East: 0, South: 90, West: 301
E5: 90 -- North: 85, East: 0, South: 0, West: 301
S4: 90 -- North: 85, East: 296, South: 0, West: 0
F26: 90 -- North: 0, East: 296, South: 81, West: 0
E5: 90 -- North: 0, East: 322, South: 81, West: 0
F59: 90 -- North: 0, East: 327, South: 81, West: 0
W1: 90 -- North: 0, East: 386, South: 81, West: 0
N4: 90 -- North: 0, East: 0, South: 81, West: 385
S4: 90 -- North: 77, East: 0, South: 0, West: 385
L90: 90 -- North: 0, East: 0, South: 73, West: 385
F85: 0 -- North: 0, East: 0, South: 73, West: 385
L90: 0 -- North: 12, East: 0, South: 0, West: 385
W5: 270 -- North: 12, East: 0, South: 0, West: 385
R90: 270 -- North: 12, East: 0, South: 0, West: 390
S1: 0 -- North: 12, East: 0, South: 0, West: 390
E2: 0 -- North: 0, East: 0, South: 11, West: 390
F86: 0 -- North: 0, East: 388, South: 11, West: 0
R90: 0 -- North: 75, East: 388, South: 0, West: 0
S2: 90 -- North: 75, East: 388, South: 0, West: 0
R90: 90 -- North: 0, East: 388, South: 73, West: 0
F72: 180 -- North: 0, East: 388, South: 73, West: 0
L270: 180 -- North: 0, East: 388, South: 145, West: 0
W5: 270 -- North: 0, East: 388, South: 145, West: 0
W4: 270 -- North: 0, East: 0, South: 145, West: 383
L90: 270 -- North: 0, East: 0, South: 145, West: 387
N2: 180 -- North: 0, East: 0, South: 145, West: 387
R90: 180 -- North: 143, East: 0, South: 0, West: 387
F12: 270 -- North: 143, East: 0, South: 0, West: 387
R90: 270 -- North: 143, East: 0, South: 0, West: 399
F21: 0 -- North: 143, East: 0, South: 0, West: 399
R180: 0 -- North: 164, East: 0, South: 0, West: 399
S4: 180 -- North: 164, East: 0, South: 0, West: 399
L180: 180 -- North: 0, East: 0, South: 160, West: 399
E5: 0 -- North: 0, East: 0, South: 160, West: 399
R90: 0 -- North: 0, East: 394, South: 160, West: 0
S5: 90 -- North: 0, East: 394, South: 160, West: 0
W5: 90 -- North: 0, East: 394, South: 165, West: 0
F87: 90 -- North: 0, East: 0, South: 165, West: 389
E3: 90 -- North: 0, East: 302, South: 165, West: 0
R90: 90 -- North: 0, East: 305, South: 165, West: 0
E3: 180 -- North: 0, East: 305, South: 165, West: 0
S1: 180 -- North: 0, East: 308, South: 165, West: 0
L270: 180 -- North: 0, East: 308, South: 166, West: 0
F74: 270 -- North: 0, East: 308, South: 166, West: 0
R90: 270 -- North: 0, East: 0, South: 166, West: 234
S3: 0 -- North: 0, East: 0, South: 166, West: 234
W5: 0 -- North: 0, East: 0, South: 169, West: 234
F3: 0 -- North: 0, East: 0, South: 169, West: 239
R90: 0 -- North: 166, East: 0, South: 0, West: 239
W2: 90 -- North: 166, East: 0, South: 0, West: 239
L90: 90 -- North: 166, East: 0, South: 0, West: 241
F11: 0 -- North: 166, East: 0, South: 0, West: 241
S2: 0 -- North: 177, East: 0, South: 0, West: 241
W3: 0 -- North: 0, East: 0, South: 175, West: 241
R90: 0 -- North: 0, East: 0, South: 175, West: 244
S3: 90 -- North: 0, East: 0, South: 175, West: 244
N1: 90 -- North: 0, East: 0, South: 178, West: 244
W4: 90 -- North: 177, East: 0, South: 0, West: 244
F67: 90 -- North: 177, East: 0, South: 0, West: 248
S1: 90 -- North: 177, East: 181, South: 0, West: 0
E2: 90 -- North: 0, East: 181, South: 176, West: 0
N4: 90 -- North: 0, East: 183, South: 176, West: 0
L270: 90 -- North: 172, East: 183, South: 0, West: 0
E5: 180 -- North: 172, East: 183, South: 0, West: 0
L90: 180 -- North: 172, East: 188, South: 0, West: 0
N1: 90 -- North: 172, East: 188, South: 0, West: 0
E2: 90 -- North: 173, East: 188, South: 0, West: 0
F75: 90 -- North: 173, East: 190, South: 0, West: 0
E1: 90 -- North: 173, East: 265, South: 0, West: 0
L90: 90 -- North: 173, East: 266, South: 0, West: 0
F63: 0 -- North: 173, East: 266, South: 0, West: 0
E4: 0 -- North: 236, East: 266, South: 0, West: 0
R90: 0 -- North: 236, East: 270, South: 0, West: 0
S4: 90 -- North: 236, East: 270, South: 0, West: 0
F62: 90 -- North: 0, East: 270, South: 232, West: 0
N5: 90 -- North: 0, East: 332, South: 232, West: 0
E4: 90 -- North: 227, East: 332, South: 0, West: 0
N4: 90 -- North: 227, East: 336, South: 0, West: 0
F65: 90 -- North: 231, East: 336, South: 0, West: 0
S2: 90 -- North: 231, East: 401, South: 0, West: 0
W2: 90 -- North: 0, East: 401, South: 229, West: 0
F15: 90 -- North: 0, East: 0, South: 229, West: 399
R90: 90 -- North: 0, East: 384, South: 229, West: 0
W3: 180 -- North: 0, East: 384, South: 229, West: 0
W5: 180 -- North: 0, East: 0, South: 229, West: 381
F71: 180 -- North: 0, East: 0, South: 229, West: 386
R90: 180 -- North: 0, East: 0, South: 300, West: 386
S1: 270 -- North: 0, East: 0, South: 300, West: 386
L90: 270 -- North: 0, East: 0, South: 301, West: 386
S1: 180 -- North: 0, East: 0, South: 301, West: 386
F43: 180 -- North: 0, East: 0, South: 302, West: 386
S3: 180 -- North: 0, East: 0, South: 345, West: 386
F82: 180 -- North: 0, East: 0, South: 348, West: 386
L90: 180 -- North: 0, East: 0, South: 430, West: 386
F7: 90 -- North: 0, East: 0, South: 430, West: 386
W1: 90 -- North: 0, East: 379, South: 430, West: 0
S3: 90 -- North: 0, East: 0, South: 430, West: 378
E2: 90 -- North: 0, East: 0, South: 433, West: 378
E1: 90 -- North: 0, East: 376, South: 433, West: 0
S1: 90 -- North: 0, East: 377, South: 433, West: 0
F74: 90 -- North: 0, East: 377, South: 434, West: 0
R90: 90 -- North: 0, East: 451, South: 434, West: 0
N4: 180 -- North: 0, East: 451, South: 434, West: 0
E4: 180 -- North: 430, East: 451, South: 0, West: 0
F12: 180 -- North: 430, East: 455, South: 0, West: 0
W2: 180 -- North: 0, East: 455, South: 418, West: 0
L180: 180 -- North: 0, East: 0, South: 418, West: 453
S2: 0 -- North: 0, East: 0, South: 418, West: 453
E2: 0 -- North: 0, East: 0, South: 420, West: 453
S1: 0 -- North: 0, East: 451, South: 420, West: 0
F5: 0 -- North: 0, East: 451, South: 421, West: 0
N5: 0 -- North: 416, East: 451, South: 0, West: 0
W5: 0 -- North: 421, East: 451, South: 0, West: 0
N5: 0 -- North: 421, East: 0, South: 0, West: 446
S1: 0 -- North: 426, East: 0, South: 0, West: 446
W5: 0 -- North: 0, East: 0, South: 425, West: 446
F42: 0 -- North: 0, East: 0, South: 425, West: 451
S5: 0 -- North: 383, East: 0, South: 0, West: 451
L90: 0 -- North: 0, East: 0, South: 378, West: 451
N2: 270 -- North: 0, East: 0, South: 378, West: 451
F2: 270 -- North: 376, East: 0, South: 0, West: 451
W2: 270 -- North: 376, East: 0, South: 0, West: 453
R90: 270 -- North: 376, East: 0, South: 0, West: 455
S4: 0 -- North: 376, East: 0, South: 0, West: 455
L180: 0 -- North: 0, East: 0, South: 372, West: 455
F53: 180 -- North: 0, East: 0, South: 372, West: 455
W5: 180 -- North: 0, East: 0, South: 425, West: 455
R90: 180 -- North: 0, East: 0, South: 425, West: 460
F38: 270 -- North: 0, East: 0, South: 425, West: 460
L90: 270 -- North: 0, East: 0, South: 425, West: 498
W3: 180 -- North: 0, East: 0, South: 425, West: 498
W3: 180 -- North: 0, East: 0, South: 425, West: 501
F50: 180 -- North: 0, East: 0, South: 425, West: 504
R90: 180 -- North: 0, East: 0, South: 475, West: 504
N4: 270 -- North: 0, East: 0, South: 475, West: 504
F25: 270 -- North: 471, East: 0, South: 0, West: 504
E1: 270 -- North: 471, East: 0, South: 0, West: 529
N5: 270 -- North: 471, East: 528, South: 0, West: 0
E4: 270 -- North: 476, East: 528, South: 0, West: 0
S3: 270 -- North: 476, East: 532, South: 0, West: 0
F50: 270 -- North: 0, East: 532, South: 473, West: 0
L90: 270 -- North: 0, East: 0, South: 473, West: 482
E2: 180 -- North: 0, East: 0, South: 473, West: 482
R180: 180 -- North: 0, East: 480, South: 473, West: 0
F31: 0 -- North: 0, East: 480, South: 473, West: 0
S1: 0 -- North: 442, East: 480, South: 0, West: 0
E5: 0 -- North: 0, East: 480, South: 441, West: 0
F46: 0 -- North: 0, East: 485, South: 441, West: 0
L90: 0 -- North: 395, East: 485, South: 0, West: 0
E3: 270 -- North: 395, East: 485, South: 0, West: 0
F88: 270 -- North: 395, East: 488, South: 0, West: 0
L90: 270 -- North: 395, East: 0, South: 0, West: 400
F95: 180 -- North: 395, East: 0, South: 0, West: 400
N4: 180 -- North: 0, East: 0, South: 300, West: 400
F57: 180 -- North: 296, East: 0, South: 0, West: 400
S4: 180 -- North: 0, East: 0, South: 239, West: 400
E4: 180 -- North: 0, East: 0, South: 243, West: 400
R270: 180 -- North: 0, East: 396, South: 243, West: 0
R90: 90 -- North: 0, East: 396, South: 243, West: 0
E5: 180 -- North: 0, East: 396, South: 243, West: 0
F11: 180 -- North: 0, East: 401, South: 243, West: 0
R90: 180 -- North: 0, East: 401, South: 254, West: 0
N5: 270 -- North: 0, East: 401, South: 254, West: 0
L90: 270 -- North: 249, East: 401, South: 0, West: 0
F54: 180 -- North: 249, East: 401, South: 0, West: 0
N2: 180 -- North: 0, East: 401, South: 195, West: 0
W2: 180 -- North: 193, East: 401, South: 0, West: 0
F32: 180 -- North: 193, East: 0, South: 0, West: 399
N4: 180 -- North: 0, East: 0, South: 161, West: 399
R270: 180 -- North: 157, East: 0, South: 0, West: 399
S2: 90 -- North: 157, East: 0, South: 0, West: 399
F44: 90 -- North: 0, East: 0, South: 155, West: 399
R90: 90 -- North: 0, East: 355, South: 155, West: 0
R90: 180 -- North: 0, East: 355, South: 155, West: 0
W4: 270 -- North: 0, East: 355, South: 155, West: 0
L90: 270 -- North: 0, East: 0, South: 155, West: 351
F78: 180 -- North: 0, East: 0, South: 155, West: 351
F42: 180 -- North: 0, East: 0, South: 233, West: 351
W1: 180 -- North: 0, East: 0, South: 275, West: 351
R90: 180 -- North: 0, East: 0, South: 275, West: 352
N5: 270 -- North: 0, East: 0, South: 275, West: 352
F83: 270 -- North: 270, East: 0, South: 0, West: 352
W2: 270 -- North: 270, East: 0, South: 0, West: 435
L90: 270 -- North: 270, East: 0, South: 0, West: 437
W3: 180 -- North: 270, East: 0, South: 0, West: 437
L180: 180 -- North: 270, East: 0, South: 0, West: 440
S1: 0 -- North: 270, East: 0, South: 0, West: 440
R90: 0 -- North: 0, East: 0, South: 269, West: 440
F38: 90 -- North: 0, East: 0, South: 269, West: 440
S5: 90 -- North: 0, East: 402, South: 269, West: 0
N2: 90 -- North: 0, East: 402, South: 274, West: 0
F46: 90 -- North: 272, East: 402, South: 0, West: 0
W3: 90 -- North: 272, East: 448, South: 0, West: 0
F83: 90 -- North: 272, East: 0, South: 0, West: 445
W3: 90 -- North: 272, East: 362, South: 0, West: 0
R90: 90 -- North: 272, East: 0, South: 0, West: 359
F41: 180 -- North: 272, East: 0, South: 0, West: 359
W1: 180 -- North: 0, East: 0, South: 231, West: 359
R180: 180 -- North: 0, East: 0, South: 231, West: 360
E4: 0 -- North: 0, East: 0, South: 231, West: 360
N1: 0 -- North: 0, East: 356, South: 231, West: 0
F39: 0 -- North: 230, East: 356, South: 0, West: 0
F36: 0 -- North: 269, East: 356, South: 0, West: 0
S3: 0 -- North: 305, East: 356, South: 0, West: 0
L90: 0 -- North: 0, East: 356, South: 302, West: 0
E3: 270 -- North: 0, East: 356, South: 302, West: 0
F42: 270 -- North: 0, East: 359, South: 302, West: 0
N3: 270 -- North: 0, East: 0, South: 302, West: 317
E4: 270 -- North: 299, East: 0, South: 0, West: 317
F60: 270 -- North: 299, East: 313, South: 0, West: 0
299 0 0 253
Part 1 Test -- Expected: 25, Got: 25
Part 1: 552
